Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"set,-maisto,-fresh-metal,-assorted,-toy-car,-5-pcs","Set, Maisto, Fresh Metal, Assorted, Toy Car, 5 pcs",<p>Maisto - Regular</p>,Maisto,Toys / Vehicles,"For Boys, Regular, Vehicles",TRUE,Title,Default Title,090159150176,14.32,30.00,21,https://www.mewse.ro/images/produse/
"maisto,-fresh-metal,-motorcycle,-1:18,-3+-years","Maisto, Fresh Metal, Motorcycle, 1:18, 3+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159393009,10.50,22.00,22,https://www.mewse.ro/images/produse/
"maisto,-harley-davidson,-cycle-town-vehicle,-toy-car,-3+-years","Maisto, Harley Davidson, Cycle Town Vehicle, Toy Car, 3+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159150138,4.41,9.00,43,https://www.mewse.ro/images/produse/
"maisto,-fresh-metal,-power-racer,-toy-car,-3+-years","Maisto, Fresh Metal, Power Racer, Toy Car, 3+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,0043|090159210016,4.40,8.00,1,https://www.mewse.ro/images/produse/
"maisto,-fresh-metal,-power-racer,-toy-car,-3+-years","Maisto, Fresh Metal, Power Racer, Toy Car, 3+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159210016,3.82,8.00,72,https://www.mewse.ro/images/produse/
"maisto,-tech,-rock-crawler-3xl,-rc-car,-8+-years","Maisto, Tech, Rock Crawler 3XL, RC Car, 8+ years",<p>Maisto - Regular</p>,Maisto,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,090159811572,26.25,55.00,1,https://www.mewse.ro/images/produse/maisto-tech-rock-crawler-3xl-rc-car-8-years-1683936275.jpg
"maisto,-tech-r/c,-vudoo,-rc-car,-green,-1:16,-8+-years","Maisto, Tech R/C, Vudoo, RC Car, Green, 1:16, 8+ years",<p>Maisto - None</p>,Maisto,Toys / Radio Controlled & Toy Vehicles,"None, None, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,090159820673,19.23,38.00,1,https://www.mewse.ro/images/produse/maisto-tech-r-c-off-road-rc-car-yellow-8-years-1684137839.jpeg
"maisto,-tech,-ferrari-458-italia,-rc-car,-yellow,-1:24,-8+-years","Maisto, Tech, Ferrari 458 Italia, RC Car, Yellow, 1:24, 8+ years",<p>Maisto - None</p>,Maisto,Toys / Radio Controlled & Toy Vehicles,"None, None, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,090159810582,16.71,35.00,4,https://www.mewse.ro/images/produse/maisto-tech-ferrari-rc-car-yellow-1-24-8-years-1684144366.jpg
"maisto,-ferrari,-ferrari-al-(a)----550-maranello,-toy-car,-1:24,-8+-years","Maisto, Ferrari, Ferrari Al (A) -  550 Maranello, Toy Car, 1:24, 8+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159399391,16.71,35.00,11,https://www.mewse.ro/images/produse/maisto-ferrari-ferrari-al-a-550-maranello-toy-car-1-24-8-years-1684146685.jpg
"maisto,-tech-r/c,-hummer-h3t-rc,-rc-car,-green,-1:24,-8+-years","Maisto, Tech R/C, Hummer H3T Rc, RC Car, Green, 1:24, 8+ years",<p>Maisto - None</p>,Maisto,Toys / Radio Controlled & Toy Vehicles,"None, None, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,090159810544,11.93,25.00,2,https://www.mewse.ro/images/produse/maisto-tech-r-c-hummer-h3t-rc-rc-car-green-1-24-8-years-1684138812.jpg
"maisto,-fresh-metal,-4x4-rebels,-toy-car,-3+-years","Maisto, Fresh Metal, 4X4 Rebels, Toy Car, 3+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159212058,14.32,30.00,36,https://www.mewse.ro/images/produse/maisto-fresh-metal-4x4-toy-car-3-years-1684238380.jpg
"maisto,-tech-r/c,-volkswagen-beetle,-toy-car,-1:10,-8+-years","Maisto, Tech R/C, Volkswagen Beetle, Toy Car, 1:10, 8+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159810414,40.00,80.00,2,https://www.mewse.ro/images/produse/maisto-tech-r-c-volkswagen-beetle-toy-car-8-years-1684145016.jpg
"maisto,-special-edition,-ford-mustang-gt,-toy-car,-1:24,-8+-years","Maisto, Special Edition, Ford Mustang Gt, Toy Car, 1:24, 8+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159319702,18.66,38.00,1,https://www.mewse.ro/images/produse/maisto-special-edition-ford-mustang-gt-toy-car-1-24-8-years-1684145222.jpg
"maisto,-assembly-line,-ferrari-enzo,-toy-car,-1:24,-8+-years","Maisto, Assembly Line, Ferrari Enzo, Toy Car, 1:24, 8+ years",<p>Maisto - Regular</p>,Maisto,Toys / Vehicles,"For Boys, Regular, Vehicles",TRUE,Title,Default Title,090159399643,22.56,80.00,4,https://www.mewse.ro/images/produse/maisto-assembly-line-ferrari-enzo-toy-car-1-24-8-years-1684145452.jpg
"maisto,-design-outlaws,-buick-century,-toy-car,-1:24,-8+-years","Maisto, Design Outlaws, Buick Century, Toy Car, 1:24, 8+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159325079,14.32,30.00,4,https://www.mewse.ro/images/produse/maisto-design-outlaws-buick-century-toy-car-1-24-8-years-1684145990.jpg
"maisto,-special-edition,-lamborghini-murcielago,-toy-car,-1:24,-3+-years","Maisto, Special Edition, Lamborghini Murcielago, Toy Car, 1:24, 3+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159312925,14.79,30.00,1,https://www.mewse.ro/images/produse/maisto-special-edition-lamborghini-murcielago-toy-car-1-24-3-years-1684239367.jpeg
"maisto,-fresh-metal,-builder-zone,-excavator,-orange,-1:24,-3+-months","Maisto, Fresh Metal, Builder Zone, Excavator, Orange, 1:24, 3+ months",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,090159252030,4.30,9.00,15,https://www.mewse.ro/images/produse/maisto-fresh-metal-excavator-orange-1-24-3-months-1684239707.jpg
"maisto,-special-edition,-mercedes-benz-sls-amg-roadster,-toy-car,-1:24,-8+-years","Maisto, Special Edition, Mercedes-Benz Sls Amg Roadster, Toy Car, 1:24, 8+ years",<p>Maisto - None</p>,Maisto,Toys / Vehicles,"None, None, Vehicles",TRUE,Title,Default Title,6930751304147,19.62,40.00,8,https://www.mewse.ro/images/produse/maisto-special-edition-mercedes-benz-sls-amg-roadster-toy-car-1-24-8-years-1684146551.jpg
"maisto,-tech,-rc-car,-white,-1:24,-8+-years","Maisto, Tech, RC Car, White, 1:24, 8+ years",<p>Maisto - Regular</p>,Maisto,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,090159810674,19.09,40.00,2,https://www.mewse.ro/images/produse/maisto-tech-rc-car-white-1-24-8-years-1683532362.jpg
"rastar,-bugatti-chiron,-rc-car,-black,-1:24,-6+-years","Rastar, Bugatti Chiron, RC Car, Black, 1:24, 6+ years",<p>Rastar - Regular</p>,Rastar,Toys / Radio Controlled & Toy Vehicles,"For Boys, Regular, Radio Controlled & Toy Vehicles",TRUE,Title,Default Title,6930751311527,13.44,31.11,1,https://www.mewse.ro/images/produse/rastar-bugatti-chiron-rc-car-black-1-24-6-years-1680781764.jpg
