Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"aveda,-tulasara,-renew,-essential-oil,-30-ml","Aveda, Tulasara, Renew, Essential Oil, 30 ml",<p>Aveda - Regular</p>,Aveda,Room Scents / Aromatherapy,"Unisex, Regular, Aromatherapy",TRUE,Title,Default Title,018084961537,17.92,70.29,4,https://www.mewse.ro/images/produse/aveda-essential-oil-ylang-ylang-30-ml--1669277440.jpg
"aveda,-earth-month-2018,-scented-candle","Aveda, Earth Month 2018, Scented Candle",<p>Aveda - Regular</p>,Aveda,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,018084984888,20.14,55.00,13,https://www.mewse.ro/images/produse/aveda-decorative-candle-1688105852.png
"payot,-rituel-douceur,-scented-candle,-180-g","Payot, Rituel Douceur, Scented Candle, 180 g",<p>Payot - Regular</p>,Payot,Room Scents / Candles,"Unisex, Regular, Candles",TRUE,Title,Default Title,3390150582608,10.27,29.00,11,https://www.mewse.ro/images/produse/payot-velvet-24h-scented-candle-180-g--1672311036.png
"payot,-herbier,-lavender,-room-spray,-100-ml","Payot, Herbier, Lavender, Room Spray, 100 ml",<p>Payot - Regular</p>,Payot,Room Scents / Air Fresheners,"Unisex, Regular, Air Fresheners",TRUE,Title,Default Title,3390150584206,10.42,33.00,9,https://www.mewse.ro/images/produse/payot-herbier-lavender-room-spray-100-ml-1699433027.png
"aromatherapy-associates,-de-stress,-frankincense,-essential-oil,-10-ml","Aromatherapy Associates, De-Stress, Frankincense, Essential Oil, 10 ml",<p>Aromatherapy Associates - Regular</p>,Aromatherapy Associates,Room Scents / Aromatherapy,"Unisex, Regular, Aromatherapy",TRUE,Title,Default Title,642498001406,9.17,33.00,4,https://www.mewse.ro/images/produse/aromatherapy-associates-de-stress-frankincense-essential-oil-10-ml-1686299989.png
"aromatherapy-associates,-deep-relax,-essential-oil,-blend,-10-ml","Aromatherapy Associates, Deep Relax, Essential Oil, Blend, 10 ml",<p>Aromatherapy Associates - Regular</p>,Aromatherapy Associates,Room Scents / Aromatherapy,"Unisex, Regular, Aromatherapy",TRUE,Title,Default Title,642498015519,11.95,32.00,6,https://www.mewse.ro/images/produse/aromatherapy-associates-essential-oil-10-ml--1673265989.jpg
"aromatherapy-associates,-de-stress,-essential-oil,-blend,-10-ml","Aromatherapy Associates, De-Stress, Essential Oil, Blend, 10 ml",<p>Aromatherapy Associates - Regular</p>,Aromatherapy Associates,Room Scents / Aromatherapy,"Unisex, Regular, Aromatherapy",TRUE,Title,Default Title,642498015526,11.12,32.00,8,https://www.mewse.ro/images/produse/aromatherapy-associates-essential-oil-10-ml--1673266470.jpg
"aromatherapy-associates,-support-breathe-,-crisp,-essential-oil,-blend,-10-ml","Aromatherapy Associates, Support Breathe , Crisp, Essential Oil, Blend, 10 ml",<p>Aromatherapy Associates - Regular</p>,Aromatherapy Associates,Room Scents / Aromatherapy,"Unisex, Regular, Aromatherapy",TRUE,Title,Default Title,642498015502,10.03,32.00,11,https://www.mewse.ro/images/produse/aromatherapy-associates-support-breathe-crisp-essential-oil-blend-10-ml-1709800124.jpg
"aromatherapy-associates,-forest-therapy,-essential-oil,-blend,-10-ml","Aromatherapy Associates, Forest Therapy, Essential Oil, Blend, 10 ml",<p>Aromatherapy Associates - Regular</p>,Aromatherapy Associates,Room Scents / Aromatherapy,"Unisex, Regular, Aromatherapy",TRUE,Title,Default Title,642498012990,9.80,32.00,9,https://www.mewse.ro/images/produse/aromatherapy-associates-essential-oil-10-ml--1673265252.jpg
"aromatherapy-associates,-revive,-citrus-aromatic,-essential-oil,-10-ml","Aromatherapy Associates, Revive, Citrus Aromatic, Essential Oil, 10 ml",<p>Aromatherapy Associates - Regular</p>,Aromatherapy Associates,Room Scents / Aromatherapy,"Unisex, Regular, Aromatherapy",TRUE,Title,Default Title,642498015533,11.12,32.00,5,https://www.mewse.ro/images/produse/aromatherapy-associates-revive-citrus-aromatic-essential-oil-10-ml-1681908440.jpg
