Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"christian-dior,-diorshow-brow-styler,-double-ended,-eyebrow-cream-pencil,-002,-dark-brown,-0.09-g","Christian Dior, Diorshow Brow Styler, Double-Ended, Eyebrow Cream Pencil, 002, Dark Brown, 0.09 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Eyebrows,"For Women, Regular, Eyebrows",TRUE,Title,Default Title,0043|3348901254533,18.27,34.00,1,https://www.mewse.ro/images/produse/christian-dior-diorshow-double-ended-eyebrow-cream-pencil-002-dark-brown-0-9-g-1686035487.jpg
"christian-dior,-vernis,-nail-polish,-108,-muguet,-10-ml","Christian Dior, Vernis, Nail Polish, 108, Muguet, 10 ml",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Nails,"For Women, Regular, Nails",TRUE,Title,Default Title,0043|3348901208147,17.58,33.24,3,https://www.mewse.ro/images/produse/christian-dior-vernis-nail-polish-108-muguet-10-ml-1686036248.jpg
"christian-dior,-3-colour-mania,-eyeshadow-palette,-653,-coral,-3.3-g","Christian Dior, 3 Colour Mania, Eyeshadow Palette, 653, Coral, 3.3 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Eyes,"For Women, Regular, Eyes",TRUE,Title,Default Title,3348901450676,31.19,63.00,2,https://www.mewse.ro/images/produse/christian-dior-3-colour-mania-eyeshadow-palette-653-coral-3-3-g--1669636362.jpg
"christian-dior,-3-colour-mania,-eyeshadow-palette,-053,-smoky,-3.3-g","Christian Dior, 3 Colour Mania, Eyeshadow Palette, 053, Smoky, 3.3 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Eyes,"For Women, Regular, Eyes",TRUE,Title,Default Title,3348901450638,31.19,63.00,2,https://www.mewse.ro/images/produse/christian-dior-3-colour-mania-eyeshadow-palette-053-smoky-3-3-g-1679639263.jpg
"christian-dior,-3-colour-mania,-eyeshadow-palette,-853,-rosy-canvas,-3.3-g","Christian Dior, 3 Colour Mania, Eyeshadow Palette, 853, Rosy Canvas, 3.3 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Eyes,"For Women, Regular, Eyes",TRUE,Title,Default Title,3348901450669,31.19,63.00,2,https://www.mewse.ro/images/produse/christian-dior-3-colour-mania-eyeshadow-palette-853-rosy-canvas-3-3-g-1678111215.png
"christian-dior,-forever-cushion,-compact-foundation,-spf-35,-2-x,-15-g","Christian Dior, Forever Cushion, Compact Foundation, SPF 35, 2 x, 15 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3348901385404,58.12,76.00,1,https://www.mewse.ro/images/produse/christian-dior-forever-cushion-compact-foundation-15-g-1679409590.jpg
"christian-dior,-5-couleurs,-eyeshadow-palette,-508,-nude-pink,-5.7-g","Christian Dior, 5 Couleurs, Eyeshadow Palette, 508, Nude Pink, 5.7 g",<p>Christian Dior - Regular</p>,Christian Dior,Makeup / Eyes,"For Women, Regular, Eyes",TRUE,Title,Default Title,3348901257756,57.60,72.00,1,https://www.mewse.ro/images/produse/christian-dior-5-couleurs-eyeshadow-palette-508-nude-peach-5-7-g-1680078408.jpg
"set,-diptyque,-do-son---patch-de-parfum,-body-stickers,-perfumed,-floral,-for-skin,-black,-5-pcs","Set, Diptyque, Do Son - Patch De Parfum, Body Stickers, Perfumed, Floral, For Skin, Black, 5 pcs",<p>Diptyque - Regular</p>,Diptyque,Makeup / Body,"For Women, Regular, Body",TRUE,Title,Default Title,3700431418531,13.38,51.00,5,https://www.mewse.ro/images/produse/diptyque-diptyque-body-stickers-do-son-for-skin-0-3700431418531-1679076663.jpg
"set,-diptyque,-l'ombre-dans-l'eau---patch-de-parfum,-body-stickers,-perfumed,-floral,-for-skin,-black,-5-pcs","Set, Diptyque, L'Ombre Dans L'Eau - Patch De Parfum, Body Stickers, Perfumed, Floral, For Skin, Black, 5 pcs",<p>Diptyque - Regular</p>,Diptyque,Makeup / Body,"For Women, Regular, Body",TRUE,Title,Default Title,3700431418548,13.38,51.00,1,https://www.mewse.ro/images/produse/diptyque-diptyque-body-stickers-l-ombre-dans-l-eau-for-skin-0-3700431418548-1679076224.jpg
"set,-diptyque,-eau-rose---patch-de-parfum,-body-stickers,-perfumed,-floral,-for-skin,-black,-5-pcs","Set, Diptyque, Eau Rose - Patch De Parfum, Body Stickers, Perfumed, Floral, For Skin, Black, 5 pcs",<p>Diptyque - Regular</p>,Diptyque,Makeup / Body,"For Women, Regular, Body",TRUE,Title,Default Title,3700431418524,22.31,51.00,3,https://www.mewse.ro/images/produse/diptyque-diptyque-body-stickers-eau-rose-for-skin-0-3700431418524-1679076865.jpg
"dolce-&-gabbana,-the-lipstick-classic,-cream-lipstick,-310,-daring,-3.5-g","Dolce & Gabbana, The Lipstick Classic, Cream Lipstick, 310, Daring, 3.5 g",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,737052787718,17.47,34.94,3,https://www.mewse.ro/images/produse/dolce-gabbana-the-lipstick-classic-cream-lipstick-310-daring-3-5-g-1738138979.jpg
"dolce-&-gabbana,-the-lipstick-classic,-cream-lipstick,-125,-mandorla,-3.5-g","Dolce & Gabbana, The Lipstick Classic, Cream Lipstick, 125, Mandorla, 3.5 g",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,737052441573,17.47,34.94,1,https://www.mewse.ro/images/produse/dolce-gabbana-the-lipstick-classic-cream-lipstick-125-mandorla-3-5-g-1738138939.jpg
"dolce-&-gabbana,-the-lipstick-shine,-cream-lipstick,-100,-violet,-3.5-g","Dolce & Gabbana, The Lipstick Shine, Cream Lipstick, 100, Violet, 3.5 g",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,737052200361,17.47,34.94,1,https://www.mewse.ro/images/produse/dolce-gabbana-the-lipstick-shine-cream-lipstick-100-violet-3-5-g-1738141529.jpg
"dolce-&-gabbana,-velvetskin,-matte,-liquid-foundation,-335,-spf-30,-30-ml","Dolce & Gabbana, Velvetskin, Matte, Liquid Foundation, 335, SPF 30, 30 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3423222041625,33.61,57.40,6,https://www.mewse.ro/images/produse/dolce-gabbana-velvetskin-matte-liquid-foundation-340-spf-30-30-ml-1717235813.jpg
"dolce-&-gabbana,-velvetskin,-matte,-liquid-foundation,-60,-spf-20,-30-ml","Dolce & Gabbana, Velvetskin, Matte, Liquid Foundation, 60, SPF 20, 30 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3423473023401,33.06,57.40,7,https://www.mewse.ro/images/produse/dolce-gabbana-velvetskin-matte-liquid-foundation-60-spf-20-30-ml-1717233715.jpg
"dolce-&-gabbana,-velvetskin,-matte,-liquid-foundation,-75,-spf-20,-30-ml","Dolce & Gabbana, Velvetskin, Matte, Liquid Foundation, 75, SPF 20, 30 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3423473023425,33.06,57.40,13,https://www.mewse.ro/images/produse/dolce-gabbana-velvetskin-matte-liquid-foundation-75-spf-20-30-ml-1717235528.jpg
"dolce-&-gabbana,-velvetskin,-matte,-liquid-foundation,-78,-spf-20,-30-ml","Dolce & Gabbana, Velvetskin, Matte, Liquid Foundation, 78, SPF 20, 30 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3423473023449,33.06,57.40,6,https://www.mewse.ro/images/produse/dolce-gabbana-velvetskin-matte-liquid-foundation-78-spf-20-30-ml-1717235539.jpg
"dolce-&-gabbana,-velvetskin,-matte,-liquid-foundation,-80,-spf-20,-30-ml","Dolce & Gabbana, Velvetskin, Matte, Liquid Foundation, 80, SPF 20, 30 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3423473023463,33.06,57.40,18,https://www.mewse.ro/images/produse/dolce-gabbana-velvetskin-matte-liquid-foundation-80-spf-20-30-ml-1717235547.jpg
"dolce-&-gabbana,-velvetskin,-matte,-liquid-foundation,-210,-spf-30,-30-ml","Dolce & Gabbana, Velvetskin, Matte, Liquid Foundation, 210, SPF 30, 30 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3423222041557,33.61,57.40,2,https://www.mewse.ro/images/produse/dolce-gabbana-velvetskin-matte-liquid-foundation-210-spf-30-30-ml-1717233544.png
"dolce-&-gabbana,-velvetskin,-matte,-liquid-foundation,-215,-spf-30,-30-ml","Dolce & Gabbana, Velvetskin, Matte, Liquid Foundation, 215, SPF 30, 30 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3423222041519,33.07,57.40,6,https://www.mewse.ro/images/produse/dolce-gabbana-velvetskin-matte-liquid-foundation-210-spf-30-30-ml-1717233599.jpg
"dolce-&-gabbana,-velvetskin,-matte,-liquid-foundation,-340,-spf-30,-30-ml","Dolce & Gabbana, Velvetskin, Matte, Liquid Foundation, 340, SPF 30, 30 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3423222041601,33.89,57.40,1,https://www.mewse.ro/images/produse/dolce-gabbana-velvetskin-matte-liquid-foundation-215-spf-30-30-ml-1717235757.jpg
"dolce-&-gabbana,-velvetskin,-matte,-liquid-foundation,-390,-spf-30,-30-ml","Dolce & Gabbana, Velvetskin, Matte, Liquid Foundation, 390, SPF 30, 30 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3423222041724,33.07,57.40,6,https://www.mewse.ro/images/produse/dolce-gabbana-velvetskin-matte-liquid-foundation-335-spf-30-30-ml-1717236091.jpg
"dolce-&-gabbana,-velvetskin,-matte,-liquid-foundation,-335c,-spf-30,-30-ml","Dolce & Gabbana, Velvetskin, Matte, Liquid Foundation, 335C, SPF 30, 30 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Face,"For Women, Regular, Face",TRUE,Title,Default Title,3423222041595,33.79,57.40,4,https://www.mewse.ro/images/produse/dolce-gabbana-velvetskin-matte-liquid-foundation-390-spf-30-30-ml-1717236351.jpg
"dolce-&-gabbana,-blush-of-roses,-blush-compact-powder,-130,-mocha,-5-g","Dolce & Gabbana, Blush Of Roses, Blush Compact Powder, 130, Mocha, 5 g",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Cheeks,"For Women, Regular, Cheeks",TRUE,Title,Default Title,3423478518551,33.72,56.20,12,https://www.mewse.ro/images/produse/dolce-gabbana-blush-of-roses-blush-compact-powder-130-mocha-5-g-1725357623.jpg
"dolce-&-gabbana,-dolcissimo,-matte,-liquid-lipstick,-05,-5-ml","Dolce & Gabbana, Dolcissimo, Matte, Liquid Lipstick, 05, 5 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3423473014553,24.28,42.15,12,https://www.mewse.ro/images/produse/dolce-gabbana-dolcissimo-matte-liquid-lipstick-05-5-ml-1725364172.jpg
"dolce-&-gabbana,-shinissimo,-high-shine,-liquid-lipstick,-600,-4.5-ml","Dolce & Gabbana, Shinissimo, High Shine, Liquid Lipstick, 600, 4.5 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3423478961654,24.80,42.15,8,https://www.mewse.ro/images/produse/dolce-gabbana-shinissimo-high-shine-liquid-lipstick-600-4-5-ml-1725365985.jpg
"dolce-&-gabbana,-dolcissimo,-matte,-liquid-lipstick,-12,-5-ml","Dolce & Gabbana, Dolcissimo, Matte, Liquid Lipstick, 12, 5 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3423473015253,24.66,42.15,5,https://www.mewse.ro/images/produse/dolce-gabbana-dolcissimo-matte-liquid-lipstick-12-5-ml-1725364118.jpg
"dolce-&-gabbana,-shinissimo,-high-shine,-liquid-lipstick,-230,-4.5-ml","Dolce & Gabbana, Shinissimo, High Shine, Liquid Lipstick, 230, 4.5 ml",<p>Dolce & Gabbana - Regular</p>,Dolce & Gabbana,Makeup / Lips,"For Women, Regular, Lips",TRUE,Title,Default Title,3423478960855,24.79,42.15,5,https://www.mewse.ro/images/produse/dolce-gabbana-shinissimo-high-shine-liquid-lipstick-230-4-5-ml-1725365900.jpg
