Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"benetton,-united-colors-of-benetton,-sunglasses,-cream-cat`s-eye,-unisex","Benetton, United Colors of Benetton, Sunglasses, Cream Cat`s Eye, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071229,4.98,45.00,12,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-grey-cat`s-eye,-unisex","Benetton, United Colors of Benetton, Sunglasses, Grey Cat`s Eye, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071236,4.98,45.00,12,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-brown-print-cat`s-eye,-unisex","Benetton, United Colors of Benetton, Sunglasses, Brown Print Cat`s Eye, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071243,4.98,45.00,7,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-red-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, Red Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726070963,4.98,45.00,9,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-cream-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, Cream Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726070987,4.98,45.00,11,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-blue-oval,-unisex","Benetton, United Colors of Benetton, Sunglasses, Blue Oval, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071007,4.98,45.00,12,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-unisex","Benetton, United Colors of Benetton, Sunglasses, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071939,4.98,45.00,12,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-unisex","Benetton, United Colors of Benetton, Sunglasses, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071694,4.98,45.00,12,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-black-wraparound,-unisex","Benetton, United Colors of Benetton, Sunglasses, Black Wraparound, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071687,4.98,45.00,11,https://www.mewse.ro/images/produse/
"benetton,-united-colors-of-benetton,-sunglasses,-unisex","Benetton, United Colors of Benetton, Sunglasses, Unisex",<p>Benetton - Regular</p>,Benetton,Fashion / Fashion Accessories,"Unisex, Regular, Fashion Accessories",TRUE,Title,Default Title,5029726071335,4.98,45.00,12,https://www.mewse.ro/images/produse/
