Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-white,-unisex,-size-6","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, White, Unisex, Size 6",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000119,12.81,60.00,128,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-white,-unisex,-size-8","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, White, Unisex, Size 8",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000120,12.81,60.00,28,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-grey,-unisex,-size-8","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, Grey, Unisex, Size 8",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000126,12.81,60.00,24,https://www.mewse.ro/images/produse/
"dermalogica,-dermalogica,-short-sleeve,-unisex-textile-t-shirt,-white,-unisex,-size-3","Dermalogica, Dermalogica, Short Sleeve, Unisex Textile T-Shirt, White, Unisex, Size 3",<p>Dermalogica - Regular</p>,Dermalogica,Clothing / Tops,"Unisex, Regular, Tops",TRUE,Title,Default Title,0037|22000000000117,12.81,60.00,51,https://www.mewse.ro/images/produse/
"clarins,-clarins,-straight,-sports-women-synthetic-leggings,-42","Clarins, Clarins, Straight, Sports Women Synthetic Leggings, 42",<p>Clarins - Regular</p>,Clarins,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,3380810180930,13.14,55.00,1,https://www.mewse.ro/images/produse/
"clarins,-clarins,-straight,-sports-women-synthetic-leggings,-40","Clarins, Clarins, Straight, Sports Women Synthetic Leggings, 40",<p>Clarins - Regular</p>,Clarins,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,3380810180923,13.14,55.00,1,https://www.mewse.ro/images/produse/
"darevie,-pro-jersey,-sports-men-synthetic-jacket,-dvj046,-blue","Darevie, Pro Jersey, Sports Men Synthetic Jacket, DVJ046, Blue",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,30000000000007,15.38,45.81,2,https://www.mewse.ro/images/produse/
"darevie,-darevie,-thermal,-sports-men-synthetic-jacket,-dvj069","Darevie, Darevie, Thermal, Sports Men Synthetic Jacket, DVJ069",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,30000000000009,11.41,33.98,3,https://www.mewse.ro/images/produse/darevie-darevie-thermal-sports-jacket-dvj069-for-men-1680434895.jpg
"darevie,-darevie,-thermal,-sports-men-synthetic-jacket,-dvj042","Darevie, Darevie, Thermal, Sports Men Synthetic Jacket, DVJ042",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Men, Regular, Sportswear",TRUE,Title,Default Title,30000000000012,13.51,40.24,3,https://www.mewse.ro/images/produse/darevie-darevie-thermal-sports-jacket-dvj042-for-men-1680434698.jpg
"darevie,-lady-pro,-thermal,-sports-women-synthetic-jacket,-dvj041w","Darevie, Lady Pro, Thermal, Sports Women Synthetic Jacket, DVJ041W",<p>Darevie - Regular</p>,Darevie,Clothing / Sportswear,"For Women, Regular, Sportswear",TRUE,Title,Default Title,30000000000014,17.51,52.18,3,https://www.mewse.ro/images/produse/darevie-lady-pro-thermal-sports-jacket-dvj041w-for-women-1680434491.jpg
