Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src
"set-acqua-di-parma:-colonia,-eau-de-cologne,-for-men,-100-ml-+-colonia-nomade,-cleansing,-shower-gel,-75-ml-+-colonia-nomade,-anti-sweat,-deodorant-spray,-for-men,-50-ml","Set Acqua di Parma: Colonia, Eau De Cologne, For Men, 100 ml + Colonia Nomade, Cleansing, Shower Gel, 75 ml + Colonia Nomade, Anti-Sweat, Deodorant Spray, For Men, 50 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfume Sets,"For Men, Regular, Perfume Sets",TRUE,Title,Default Title,8028713250675,87.90,152.10,3,https://www.mewse.ro/images/produse/set-acqua-di-parma-colonia-eau-de-cologne-for-men-100-ml-colonia-nomade-cleansing-shower-gel-75-ml-colonia-nomade-anti-sweat-deodorant-spray-for-men-50-ml-1726576186.jpg
"set-acqua-di-parma:-colonia,-eau-de-cologne,-for-men,-100-ml-+-colonia-nomade,-cleansing,-shower-gel,-75-ml-+-colonia-nomade,-anti-sweat,-deodorant-spray,-for-men,-50-ml","Set Acqua di Parma: Colonia, Eau De Cologne, For Men, 100 ml + Colonia Nomade, Cleansing, Shower Gel, 75 ml + Colonia Nomade, Anti-Sweat, Deodorant Spray, For Men, 50 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfume Sets,"For Men, Regular, Perfume Sets",TRUE,Title,Default Title,8028713250774,87.90,152.10,15,https://www.mewse.ro/images/produse/set-acqua-di-parma-colonia-eau-de-cologne-for-men-100-ml-colonia-nomade-cleansing-shower-gel-75-ml-colonia-nomade-anti-sweat-deodorant-spray-for-men-50-ml-1726576186.jpg
"set-acqua-di-parma:-colonia-futura,-eau-de-cologne,-for-men,-100-ml-+-colonia-futura,-shower-gel-&-shampoo-2-in-1,-75-ml-+-colonia-futura,-anti-sweat,-deodorant-spray,-for-men,-50-ml","Set Acqua di Parma: Colonia Futura, Eau De Cologne, For Men, 100 ml + Colonia Futura, Shower Gel & Shampoo 2-In-1, 75 ml + Colonia Futura, Anti-Sweat, Deodorant Spray, For Men, 50 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfume Sets,"For Men, Regular, Perfume Sets",TRUE,Title,Default Title,8028713280269,87.99,152.60,29,https://www.mewse.ro/images/produse/set-acqua-di-parma-colonia-futura-eau-de-cologne-for-men-100-ml-colonia-futura-shower-gel-shampoo-2-in-1-75-ml-colonia-futura-anti-sweat-deodorant-spray-for-men-75-ml-1726576841.jpg
"set-acqua-di-parma:-blu-mediterraneo-arancia-di-capri,-eau-de-toilette,-unisex,-75-ml-+-blu-mediterraneo-arancia-di-capri,-body-lotion,-all-over-the-body,-50-ml-+-blu-mediterraneo-arancia-di-capri,-cleansing,-shower-gel,-for-all-skin-types,-40-ml","Set Acqua di Parma: Blu Mediterraneo Arancia di Capri, Eau De Toilette, Unisex, 75 ml + Blu Mediterraneo Arancia di Capri, Body Lotion, All Over The Body, 50 ml + Blu Mediterraneo Arancia di Capri, Cleansing, Shower Gel, For All Skin Types, 40 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfume Sets,"For Men, Regular, Perfume Sets",TRUE,Title,Default Title,8028713573514,87.70,152.10,16,https://www.mewse.ro/images/produse/set-acqua-di-parma-blu-mediterraneo-arancia-di-capri-eau-de-toilette-unisex-75-ml-blu-mediterraneo-arancia-di-capri-body-lotion-all-over-the-body-50-ml-blu-mediterraneo-arancia-di-capri-cleansing-shower-gel-for-all-skin-types-40-ml-1726596908.jpg
"set-acqua-di-parma:-signatures-of-the-sun---leather,-eau-de-parfum,-for-men,-7-ml-+-signatures-of-the-sun---oud,-eau-de-parfum,-for-men,-7-ml-+-signatures-of-the-sun---osmanthus,-eau-de-parfum,-for-men,-7-ml-+-signatures-of-the-sun---quercia,-eau-de-parfum,-for-men,-7-ml-+-signatures-of-the-sun---sandalo,-eau-de-parfum,-for-men,-7-ml","Set Acqua di Parma: Signatures Of The Sun - Leather, Eau De Parfum, For Men, 7 ml + Signatures Of The Sun - Oud, Eau De Parfum, For Men, 7 ml + Signatures Of The Sun - Osmanthus, Eau De Parfum, For Men, 7 ml + Signatures Of The Sun - Quercia, Eau De Parfum, For Men, 7 ml + Signatures Of The Sun - Sandalo, Eau De Parfum, For Men, 7 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfume Sets,"For Men, Regular, Perfume Sets",TRUE,Title,Default Title,8028713811098,131.17,228.00,34,https://www.mewse.ro/images/produse/66e9c85adb6ce1726597210.jpg
"acqua-di-parma,-signatures-of-the-sun---lily-of-the-valley,-eau-de-parfum,-unisex,-100-ml","Acqua di Parma, Signatures Of The Sun - Lily of the Valley, Eau De Parfum, Unisex, 100 ml",<p>Acqua di Parma - Regular</p>,Acqua di Parma,Fragrance / Perfumes,"Unisex, Regular, Perfumes",TRUE,Title,Default Title,8028713811210,118.83,241.50,6,https://www.mewse.ro/images/produse/acqua-di-parma-signatures-of-the-sun-lily-of-the-valley-eau-de-parfum-unisex-100-ml-1696406449.jpg
"adidas,-get-ready!,-eau-de-toilette,-for-women,-30-ml-*tester","Adidas, Get Ready!, Eau De Toilette, For Women, 30 ml *Tester",<p>Adidas - Tester</p>,Adidas,Fragrance / Perfumes,"For Women, Tester, Perfumes",TRUE,Title,Default Title,99000000008627,3.30,11.00,4,https://www.mewse.ro/images/produse/adidas-get-ready-eau-de-toilette-for-women-30-ml-1736855510.jpg
"adidas,-dynamic-pulse,-eau-de-toilette,-for-men,-50-ml","Adidas, Dynamic Pulse, Eau De Toilette, For Men, 50 ml",<p>Adidas - Regular</p>,Adidas,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,3412242310057,2.51,8.50,445,https://www.mewse.ro/images/produse/adidas-dynamic-pulse-eau-de-toilette-for-men-50-ml-1680161128.jpg
"adidas,-ice-dive,-eau-de-toilette,-for-men,-100-ml","Adidas, Ice Dive, Eau De Toilette, For Men, 100 ml",<p>Adidas - Regular</p>,Adidas,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,3412242610089,4.36,15.95,831,https://www.mewse.ro/images/produse/adidas-ice-dive-eau-de-toilette-for-men-100-ml-1680162676.jpg
"adidas,-victory-league,-eau-de-toilette,-for-men,-100-ml","Adidas, Victory League, Eau De Toilette, For Men, 100 ml",<p>Adidas - Regular</p>,Adidas,Fragrance / Perfumes,"For Men, Regular, Perfumes",TRUE,Title,Default Title,3412241210204,4.96,16.00,7,https://www.mewse.ro/images/produse/adidas-victory-league-eau-de-toilette-for-men-100-ml-1681582524.jpg
